system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,landform,latitude,latitude_209564535,longitude,longitude_209564535,mined,offset,price_after,price_before,price_dif,scale,slope,type,type_prev,year,.geo
0,323,23.167522,9566,1391,9588,25690,6087,4359,2952,31,-12.946070717088485,,-70.60623385886822,,0,-15.0,1571.5,1224.5,347.0,13.4,1.0585384,0,1.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.60627608630651,-12.94603277057308]}"
1,438,10.317772,7293,4862,7391,19584,9882,8070,2466,21,-13.001766264703896,,-70.60264059773174,,0,-23.5,1571.5,1224.5,347.0,18.3,14.680731,0,1.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.60304145562971,-13.002188170120249]}"
2,305,2.021676,19204,0,19204,31275,8771,4628,19250,24,-12.800543641061124,,-70.57299619335579,,0,239.5,1571.5,1224.5,347.0,-37.0,2.3174627,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.57301946799531,-12.80060577717721]}"
3,288,2.953687,6523,1831,6523,32915,7046,4114,9966,21,-12.673881186000271,,-70.46609667454557,,0,-90.5,1571.5,1224.5,347.0,68.3,0.47531635,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.46645175218663,-12.67375365380588]}"
4,260,68.72752,16477,16429,30647,16477,30043,9060,8607,34,-12.740356517025115,,-70.10317729976128,,0,-23.0,1571.5,1224.5,347.0,19.0,2.8205209,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.10294774029684,-12.7403367220045]}"
5,263,2.797349,6647,0,30093,6647,5541,11585,8894,34,-12.969426914475592,,-70.0897025704995,,0,-206.0,1571.5,1224.5,347.0,128.6,2.3564265,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.08928856226461,-12.969048656533685]}"
6,243,3.7832928,13098,14167,13098,32895,24920,4735,3579,21,-12.611897431396024,,-70.26577236618692,,0,-33.5,1571.5,1224.5,347.0,36.7,3.3658957,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.26533433538506,-12.61159048741378]}"
7,240,86.87808,13301,13240,41048,13301,27285,5291,5688,21,-12.760119453275745,,-70.00346430322402,,0,-12.0,1571.5,1224.5,347.0,7.2,4.855552,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00355092501299,-12.760262242543492]}"
8,302,48.53201,16444,0,16444,30440,11503,2159,21246,24,-12.78706891179933,,-70.55143662653693,,0,18.0,1571.5,1224.5,347.0,10.0,1.68477,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.55110860778171,-12.787447118768043]}"
9,259,14.377472,98,0,32444,98,12904,3169,841,21,-12.893070115325434,,-70.06275311197591,,0,-68.5,1571.5,1224.5,347.0,59.5,1.7016134,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.06296887431954,-12.892938851560814]}"
10,282,12.183743,2334,3969,2334,31711,9000,2414,6284,41,-12.664898033159075,,-70.42746911732843,,0,-107.5,1571.5,1224.5,347.0,78.2,3.8249674,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.42717971725244,-12.664746138152077]}"
11,293,9.268053,11586,3707,11586,26052,15560,556,22220,21,-12.791560488219927,,-70.499334340058,,0,-36.5,1571.5,1224.5,347.0,35.9,3.603108,0,1.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.49890898353786,-12.791817028596006]}"
12,310,12.915409,11960,1233,11960,23911,7093,933,11766,21,-12.884086962484238,,-70.54604673483222,,0,-151.0,1571.5,1224.5,347.0,103.1,1.9922713,0,1.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.54644698068718,-12.883748814521509]}"
13,267,24.929512,8269,0,25461,8269,8024,10079,13730,42,-12.989189850726223,,-70.13910991112607,,0,-43.0,1571.5,1224.5,347.0,26.6,2.3565464,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.13916327239698,-12.989448893059588]}"
14,421,5.681844,8386,3443,8477,20592,8422,9216,2272,21,-12.9927831118627,,-70.61252206585705,,0,-25.5,1571.5,1224.5,347.0,38.4,8.613497,0,1.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.61238079075548,-12.992367701155775]}"
15,267,1.964696,7071,0,31946,7071,5134,10401,7878,34,-12.965833653339114,,-70.0717362648171,,0,-213.5,1571.5,1224.5,347.0,145.5,1.0586052,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.07129684526267,-12.965597219350917]}"
16,297,14.886861,1283,6476,1283,5414,23035,835,14064,31,-12.923612834985498,,-70.35919715573534,,0,-27.5,1571.5,1224.5,347.0,18.1,4.2266393,0,1.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.35896035518194,-12.923572597737227]}"
17,249,22.78374,30982,30906,31526,30982,43367,13407,4658,24,-12.60021933270247,,-70.09778740805658,,0,37.5,1571.5,1224.5,347.0,-6.7,0.46373534,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.09765125380866,-12.600397355881547]}"
18,297,12.197033,16437,1148,16437,26419,10553,196,18361,21,-12.82210320787999,,-70.53347032085453,,0,-34.0,1571.5,1224.5,347.0,60.5,1.4999462,0,1.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.53335808233864,-12.822264196131805]}"
19,304,9.022233,15263,1463,15245,24708,8721,1185,15348,21,-12.851747612255936,,-70.5361652667069,,0,-63.5,1571.5,1224.5,347.0,68.1,0.9512355,0,1.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.53657913007592,-12.852076999203362]}"
20,306,3.195776,13563,0,13563,26795,4237,907,11084,31,-12.877798755495402,,-70.57209787807167,,0,-164.5,1571.5,1224.5,347.0,114.4,0.6643201,0,1.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.57184343325663,-12.878173770540357]}"
21,257,7.2418284,12330,0,40368,12330,405,14897,12606,21,-13.008054471692732,,-70.0025659879399,,0,-56.0,1571.5,1224.5,347.0,65.1,4.3005667,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00232336809474,-13.007643505512688]}"
22,274,25.13724,9314,0,9314,32394,8500,1590,14549,24,-12.702627275092095,,-70.49663939420564,,0,-58.0,1571.5,1224.5,347.0,60.8,1.4993032,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.49672532555826,-12.702332570677893]}"
23,284,13.838582,13095,0,13095,33429,9159,1185,17211,34,-12.725983472479204,,-70.53347032085453,,0,9.0,1571.5,1224.5,347.0,34.1,0.6641153,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.53360801342295,-12.72625867919898]}"
24,256,6.8362226,1614,1614,33676,1614,15457,1479,2861,24,-12.869713917938327,,-70.05376995913471,,0,-84.0,1571.5,1224.5,347.0,54.5,0.46373534,0,2.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.05402506804427,-12.869919424730474]}"
25,429,19.78998,2833,8426,2833,8426,13362,2265,3173,31,-13.060156758171665,,-70.43735058545374,,0,23.5,1571.5,1224.5,347.0,32.4,15.83875,0,1.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.43744036651559,-13.06038180326513]}"
