system:index,distance_dep,distance_nac,distance_vec,elevation,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
0,6526.191698785321,22694.422974143527,6698.872847256175,393,-13.039874999999995,-70.578375,0,14.5,1571.5,1224.5,347.0,2.1,5.4300985,
1,26487.997685683782,1269425.1426474955,2491.5733403835925,330,-12.905375000000006,-70.60912499999999,0,-40.0,1571.5,1224.5,347.0,33.6,3.3671362,
2,2008.8399748196953,18685.680360441595,649.2655531790685,417,-13.008875000000003,-70.515875,0,0.0,1571.5,1224.5,347.0,0.0,3.401341,
3,1269381.8272598935,2983.867374244385,7070.007579137903,257,-12.922875000000005,-69.993375,0,0.0,1571.5,1224.5,347.0,0.0,1.9024856,
4,13737.740480995895,1269505.419344683,6328.457725724277,303,-12.872875000000008,-70.493625,0,0.0,1571.5,1224.5,347.0,0.0,0.0,
5,16775.63464748585,1269520.8546036184,3140.310486233992,300,-12.866624999999999,-70.522875,0,0.0,1571.5,1224.5,347.0,0.0,1.8543341,
6,1269445.5349583102,0.0,4525.91714928989,245,-12.897125000000003,-70.074625,0,-15.5,1571.5,1224.5,347.0,38.0,1.9022912,
7,13838.745775985039,1269862.3955756377,1703.8158530009925,285,-12.727374999999995,-70.540375,0,81.5,1571.5,1224.5,347.0,-3.6,2.0835671,
8,7866.2290527607975,27781.945187475667,8647.306309511792,420,-12.995125000000002,-70.607625,0,21.5,1571.5,1224.5,347.0,15.4,7.581736,
9,1269446.154466423,637.1592379705799,5345.897529005303,251,-12.896875000000009,-69.994125,0,-115.0,1571.5,1224.5,347.0,72.1,3.8003936,
10,7198.646977294478,26013.088968638607,5060.496821442929,350,-12.925624999999997,-70.532125,0,0.0,1571.5,1224.5,347.0,0.0,1.3285913,
11,1269748.7480416084,13353.769239679717,7405.79844699903,244,-12.773875000000004,-69.925375,0,22.0,1571.5,1224.5,347.0,-6.2,3.399102,
12,13215.2507104607,1269855.0671132144,992.9367540699698,279,-12.730374999999995,-70.53462499999999,0,27.0,1571.5,1224.5,347.0,46.7,2.6547005,
13,4090.245683024133,25186.371472605075,4514.898892178185,356,-12.970124999999996,-70.560875,0,0.0,1571.5,1224.5,347.0,0.0,2.0839856,
14,11594.745363282786,1269998.6869477213,2959.7981523305034,274,-12.671374999999998,-70.516875,0,-14.5,1571.5,1224.5,347.0,14.9,2.0834715,
15,1269393.598453077,2792.6899837717374,4663.886664909442,258,-12.918125000000003,-70.049125,0,-6.5,1571.5,1224.5,347.0,3.9,0.0,
16,18836.839836355455,1269684.4361656592,4301.604875892343,304,-12.800125000000008,-70.569375,0,110.5,1571.5,1224.5,347.0,14.5,0.95103973,
17,14054.249250219831,1269780.5414736809,367.6207251483433,288,-12.760874999999999,-70.53762499999999,0,87.5,1571.5,1224.5,347.0,-18.3,3.9787414,
18,11228.978144316043,1269639.0132952603,2916.158428812398,311,-12.818624999999997,-70.477875,0,-12.5,1571.5,1224.5,347.0,16.2,2.9379888,
19,14766.505125224494,1269738.9414652302,446.0385993710704,294,-12.777875000000009,-70.538625,0,2.5,1571.5,1224.5,347.0,5.5,2.7802885,
