system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1651,41647.0389136479,3936.241527807252,5849.768251869978,252,1,21,-12.854875000000007,-69.982375,1,70.0,1571.5,1224.5,347.0,-10.7,11.589526,
1_1_1_1_1652,31868.662026459308,2499.92119409484,5667.576996723904,259,1,24,-12.919875000000005,-70.067375,1,0.0,1571.5,1224.5,347.0,0.0,0.92740995,
1_1_1_1_1653,20074.25755592243,31563.700057752332,5224.3338585356405,308,1,34,-12.821375000000003,-70.590875,0,0.0,1571.5,1224.5,347.0,0.0,2.1155033,
1_1_1_1_1654,16895.421227479936,32693.526654613233,997.3904266981126,299,1,34,-12.768625,-70.562375,0,0.0,1571.5,1224.5,347.0,4.8,0.0,
1_1_1_1_1655,3748.9335139156915,37010.22785919556,2311.7420956334277,256,1,21,-12.618125000000006,-70.441125,0,-12.0,1571.5,1224.5,347.0,18.7,0.950359,
1_1_1_1_1656,37605.08704408001,3986.8209023646573,1935.8659954037741,255,1,24,-12.843375000000009,-70.021875,1,-14.5,1571.5,1224.5,347.0,9.3,1.8543341,
1_1_1_1_1657,31203.188191055706,7965.518212998532,12055.503651993253,269,1,34,-12.978375,-70.081125,0,-29.5,1571.5,1224.5,347.0,17.8,4.7233934,
1_1_1_1_1658,34137.596666261015,1690.7587628676858,1176.7232810026794,257,1,24,-12.865125000000006,-70.050125,1,-48.0,1571.5,1224.5,347.0,33.9,0.92740995,
1_1_1_1_1659,5183.1272111840835,14596.550164730254,2978.118349468735,539,1,21,-13.045375000000007,-70.525125,0,-0.5,1571.5,1224.5,347.0,0.5,15.312201,
1_1_1_1_1660,37607.37828848747,4834.752973240294,6810.820646427831,254,1,34,-12.934624999999997,-70.015625,1,-7.5,1571.5,1224.5,347.0,4.5,0.9515506,
1_1_1_1_1661,39025.12848480911,3387.454544188073,6455.560852988355,255,1,34,-12.923124999999999,-70.00212499999999,1,-1.5,1571.5,1224.5,347.0,0.9,1.9024876,
1_1_1_1_1662,20408.54221196581,35086.05482692769,2875.3282228149214,302,1,24,-12.772125000000003,-70.594625,0,-18.0,1571.5,1224.5,347.0,11.0,3.9094467,
1_1_1_1_1663,33024.00487720376,136.96927381794373,2665.6627744406405,253,1,21,-12.892375000000001,-70.057375,1,-79.5,1571.5,1224.5,347.0,47.7,3.3670814,
1_1_1_1_1664,30075.736843689414,6443.085039457696,11306.543934031199,265,1,24,-12.966875000000002,-70.089125,0,-143.0,1571.5,1224.5,347.0,85.8,4.671127,
1_1_1_1_1665,33979.69538565573,6945.331614779658,8983.743551125155,262,1,24,-12.957875000000001,-70.051375,0,-140.5,1571.5,1224.5,347.0,84.3,2.8528185,
1_1_1_1_1666,3198.9175587006425,30812.447387695953,3617.5015301050666,283,1,41,-12.675624999999997,-70.430375,0,-22.0,1571.5,1224.5,347.0,13.2,2.6544082,
