system:index,0_mined,0_mined_1,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,sand,scale,slope,year,.geo
2_11,0,0,0,0,0,0,0,0,0,0,239,0.19426190640727817,42,2474.8457196232453,707.3875656023013,6539.414497843777,11199.08684579629,0.0,13910.916317657691,500.1985445644309,2474.8457196232453,11193.723726239405,21,-12690,-69144,0.0,32,0.0,1.4698826,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14510774046707,-12.689965838739722]}"
2_12,0,0,0,0,0,0,0,0,0,0,325,0.03962220079133856,35,31640.053224000396,5902.925907342741,38898.1061258229,68704.50909290645,0.0,17988.86433460512,2906.660409529831,31640.053224000396,28296.367332449063,41,-12550,-70810,0.0,40,0.0,2.0832675,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.80972068552829,-12.5512411961393]}"
2_13,0,0,0,0,0,0,0,0,0,0,466,0.039698306640120064,31,25341.4409474475,3745.1999393807405,31688.435604962324,25341.4409474475,0.0,16230.295629191032,223.6588064860179,28631.122828794196,35301.551031678304,31,-13238,-70073,0.0,39,0.0,7.4387736,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.07413870718801,-13.23844923411614]}"
2_14,0,0,0,0,0,0,0,0,0,0,317,0.05478454792415765,38,25820.401233206077,0.0,35218.78448866989,61958.85778772374,1117.99468217653,13473.204350441287,707.0819215267776,25820.401233206077,23502.364974082928,24,-12549,-70726,0.0,34,0.0,1.3275821,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72634593403228,-12.54962119767007]}"
2_15,0,0,0,0,0,0,0,0,0,0,256,0.041938214574131355,33,24435.16638446172,9851.64134583833,50828.237384069194,24435.16638446172,0.0,806.4536352576708,141.46132560040925,28898.648065838708,26668.55533509704,21,-13132,-69899,0.0,36,0.0,3.3197777,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.8993171607597,-13.13198199828182]}"
2_16,0,0,0,0,0,0,0,0,0,0,297,0.2095879266584256,46,14092.12707881492,31524.920592373717,30974.10782635509,36034.78462452005,42707.12633876499,2953.6194400895656,943.6073143378419,14092.12707881492,6065.171844709709,21,-12557,-70104,0.0,33,0.0,3.378512,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.10492315474782,-12.557239578115505]}"
2_17,0,0,0,0,0,0,0,0,0,0,231,0.24873123922798476,32,4231.349340483594,10625.454392627391,24710.69166877009,11285.02712802559,12111.040043592458,5675.011315207607,2203.1526095344457,4231.349340483594,21595.669392807384,31,-12428,-69026,0.0,40,0.0,4.998673,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.02709687076462,-12.428480029980786]}"
2_18,0,0,0,0,0,0,0,0,0,0,406,0.08675204149881152,37,10789.525506900778,99.99736324648765,10789.525506900778,19939.634707916695,0.0,12777.769348804586,99.99736324648765,19304.6716218065,12211.557465067928,21,-13035,-70712,0.0,37,0.0,26.197378,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7122281186603,-13.035387509147146]}"
2_19,0,0,0,0,0,0,0,0,0,0,225,0.08813616925966113,37,10016.495904754363,7626.695898239207,17998.58106600763,21560.88019164969,0.0,14307.11725073808,447.3924233475015,10016.495904754363,22072.367169402958,34,-12740,-69045,0.0,34,0.0,3.9683526,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.0453695634214,-12.740461035183136]}"
2_20,0,0,0,0,0,0,0,0,0,0,216,0.15760677705320206,36,8599.369051221232,4624.619598904359,18535.77102866113,16517.51255820172,0.0,2913.2092510880507,223.69627715736019,8599.369051221232,19764.930118664804,21,-12610,-69006,0.0,34,0.0,3.600936,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.00639918881765,-12.611602961616795]}"
2_21,0,0,0,0,0,0,0,0,0,0,329,0.11233652917440556,35,31350.35019865209,0.0,31350.35019865209,88658.31235759937,999.8598534607238,20573.80208484962,1220.4844909207675,51841.07015611889,9216.625476063115,34,-12402,-70922,0.0,38,0.0,0.66368777,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.92207086772875,-12.402681525483775]}"
2_22,0,0,0,0,0,0,0,0,0,0,266,0.04653129653455378,34,23844.843484223362,34553.91079358253,47429.62143896733,34671.5796068985,51090.80705606096,21399.986202810243,781.2974779323414,23844.843484223362,32612.755408385052,31,-12422,-69592,0.0,35,0.0,2.9946706,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.59210477464211,-12.42213734787332]}"
2_23,0,0,0,0,0,0,0,0,0,0,280,0.11548401829708864,39,18971.286636121516,0.0,22554.553157029764,53102.30200005531,1931.373694713898,9014.125098640761,400.01095688118346,18971.286636121516,9898.250719281556,41,-12542,-70597,0.0,38,0.0,2.3379946,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.59766222696803,-12.542553588481677]}"
2_24,0,0,0,0,0,0,0,0,0,0,352,0.04394104539126573,37,30690.472118802605,4807.777631089025,36427.28676546951,58869.17049138496,0.0,9537.255642348064,3420.1360992656423,30690.472118802605,38995.55130877111,34,-12721,-70877,0.0,39,0.0,0.0,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.87721115816461,-12.72160603166692]}"
