system:index,distance_dep,distance_nac,distance_vec,elevation,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
0,6526.191698785321,22694.422974143527,6698.872847256175,393,-13.039874999999995,-70.578375,0,1.0,1266.4,1411.2,-144.79999999999995,-0.3,5.4300985,
1,26487.997685683782,1269425.1426474955,2491.5733403835925,330,-12.905375000000006,-70.60912499999999,0,117.0,1266.4,1411.2,-144.79999999999995,-27.2,3.3671362,
2,2008.8399748196953,18685.680360441595,649.2655531790685,417,-13.008875000000003,-70.515875,0,0.0,1266.4,1411.2,-144.79999999999995,0.1,3.401341,
3,1269381.8272598935,2983.867374244385,7070.007579137903,257,-12.922875000000005,-69.993375,0,-20.5,1266.4,1411.2,-144.79999999999995,27.7,1.9024856,
4,13737.740480995895,1269505.419344683,6328.457725724277,303,-12.872875000000008,-70.493625,0,12.5,1266.4,1411.2,-144.79999999999995,-0.4,0.0,
5,16775.63464748585,1269520.8546036184,3140.310486233992,300,-12.866624999999999,-70.522875,0,-28.5,1266.4,1411.2,-144.79999999999995,17.1,1.8543341,
6,1269445.5349583102,0.0,4525.91714928989,245,-12.897125000000003,-70.074625,0,137.5,1266.4,1411.2,-144.79999999999995,-27.0,1.9022912,
7,13838.745775985039,1269862.3955756377,1703.8158530009925,285,-12.727374999999995,-70.540375,0,63.0,1266.4,1411.2,-144.79999999999995,-9.8,2.0835671,
8,7866.2290527607975,27781.945187475667,8647.306309511792,420,-12.995125000000002,-70.607625,0,67.5,1266.4,1411.2,-144.79999999999995,-17.6,7.581736,
9,1269446.154466423,637.1592379705799,5345.897529005303,251,-12.896875000000009,-69.994125,0,318.5,1266.4,1411.2,-144.79999999999995,-80.5,3.8003936,
10,7198.646977294478,26013.088968638607,5060.496821442929,350,-12.925624999999997,-70.532125,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.3285913,
11,1269748.7480416084,13353.769239679717,7405.79844699903,244,-12.773875000000004,-69.925375,0,3.0,1266.4,1411.2,-144.79999999999995,-0.6,3.399102,
12,13215.2507104607,1269855.0671132144,992.9367540699698,279,-12.730374999999995,-70.53462499999999,0,90.0,1266.4,1411.2,-144.79999999999995,-15.6,2.6547005,
13,4090.245683024133,25186.371472605075,4514.898892178185,356,-12.970124999999996,-70.560875,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.0839856,
14,11594.745363282786,1269998.6869477213,2959.7981523305034,274,-12.671374999999998,-70.516875,0,57.5,1266.4,1411.2,-144.79999999999995,-10.3,2.0834715,
15,1269393.598453077,2792.6899837717374,4663.886664909442,258,-12.918125000000003,-70.049125,0,13.0,1266.4,1411.2,-144.79999999999995,-3.9,0.0,
16,18836.839836355455,1269684.4361656592,4301.604875892343,304,-12.800125000000008,-70.569375,0,90.5,1266.4,1411.2,-144.79999999999995,-21.5,0.95103973,
17,14054.249250219831,1269780.5414736809,367.6207251483433,288,-12.760874999999999,-70.53762499999999,0,107.0,1266.4,1411.2,-144.79999999999995,-26.0,3.9787414,
18,11228.978144316043,1269639.0132952603,2916.158428812398,311,-12.818624999999997,-70.477875,0,45.5,1266.4,1411.2,-144.79999999999995,-11.5,2.9379888,
19,1269488.7449243257,1342.3321813618375,2874.3381424921554,255,-12.879625000000004,-70.065625,0,111.5,1266.4,1411.2,-144.79999999999995,-30.6,3.9797015,
20,14766.505125224494,1269738.9414652302,446.0385993710704,294,-12.777875000000009,-70.538625,0,126.5,1266.4,1411.2,-144.79999999999995,-9.8,2.7802885,
21,13808.016223469174,1269711.3794186758,301.39272443245926,288,-12.789124999999999,-70.523375,0,194.5,1266.4,1411.2,-144.79999999999995,-13.3,3.3992462,
22,7201.6064188035525,26226.47285117423,4753.051743469519,348,-12.926375000000007,-70.535625,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,8.695656,
23,12036.270122251764,1269593.5371800754,4975.743845629694,314,-12.837125,-70.482625,0,8.0,1266.4,1411.2,-144.79999999999995,11.4,1.3283513,
24,21305.663655664157,1269473.3608995336,306.2764930943411,297,-12.885874999999999,-70.561875,0,116.0,1266.4,1411.2,-144.79999999999995,-30.8,4.1621804,
25,9460.280245627275,30170.004957688896,1569.0210255562845,339,-12.924875,-70.58212499999999,0,65.0,1266.4,1411.2,-144.79999999999995,-10.7,13.867594,
26,1269456.6860580856,245.0179760624718,3330.9155274087066,258,-12.892624999999995,-70.012625,0,51.5,1266.4,1411.2,-144.79999999999995,14.1,6.3250294,
27,1348.6325652832866,12220.245889350648,2973.55690975583,375,-13.028125000000003,-70.454875,0,8.0,1266.4,1411.2,-144.79999999999995,-2.3,0.9519079,
28,6601.197784562887,1269832.4621528357,4809.725528339323,299,-12.739625000000004,-70.472875,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.1149511,
29,1269643.297567217,8380.031498841148,6303.6537861903835,250,-12.816874999999996,-69.910875,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.0837204,
30,1269589.2011203547,6144.744983741975,10151.023450649795,238,-12.838875000000002,-69.945125,0,12.0,1266.4,1411.2,-144.79999999999995,0.2,3.91042,
31,1250.2678437648244,19748.160247671796,319.3917238160493,406,-13.008875000000003,-70.528375,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,7.0568504,
32,1269658.6279159207,9209.097153577717,9810.277492394554,264,-12.810625000000002,-69.948875,0,13.0,1266.4,1411.2,-144.79999999999995,17.7,1.8543341,
33,3594.305901086258,18169.012911114507,1705.2314000230326,464,-13.030875000000009,-70.526625,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.9382498,
34,3563.027818903643,10693.011719565524,4393.4307592337955,483,-13.053125000000009,-70.457875,0,65.5,1266.4,1411.2,-144.79999999999995,-5.3,1.9034828,
