system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,sand,slope,type,.geo
12,236,0.655664971563798,33,0,800.0983533291392,2545.897370648511,800.0983533291392,35901.07042066586,12615.828445226061,3310.996080770106,1000.122941661424,1844.1355846812078,1972.5507711899015,41,-12609,-70378,0,38,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.37776531450444,-12.609542598466486]}"
13,1025,0.3010277147486409,36,0,6510.970219800195,8486.91070418331,6510.970219800195,15600.265470779306,13728.353637764276,27338.834678388648,99.99143029686344,11303.012881753171,9169.819320845592,31,-13220,-70829,0,36,13.209493,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82859668622824,-13.21965477240154]}"
14,221,0.23967783292829786,37,0,10411.462076871097,4259.477200374221,51963.80005834741,23363.336759046244,0.0,5986.31487202856,300.10874493933443,10411.462076871097,30154.748547871386,21,-12977,-69508,0,34,1.9585165,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.50851884157152,-12.977929555611343]}"
15,218,0.6502615449546849,32,0,1600.5388155243222,11363.843201771711,50911.63793665038,11363.40290485755,24148.75924336778,2196.1891790454324,2062.247060721175,1600.5388155243222,7908.356469632693,21,-12694,-69659,0,34,1.700674,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65899380252604,-12.694568306131108]}"
16,246,0.6359741906822167,32,0,12183.416447691945,30517.72965028382,30208.16960086734,30614.77496794465,42018.932894724116,100.02211669488403,1220.9255302395084,12183.416447691945,5853.644301742986,21,-12608,-70106,0,38,1.7002685,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.1071199289956,-12.60808875676287]}"
17,266,0.5526794723226399,37,0,7644.936166141283,22517.566988488226,21428.344025012684,18307.330155216772,30721.12406730887,5905.665316215306,412.4695573520396,7644.936166141283,5187.556514281766,21,-12451,-69315,0,38,3.3961012,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.31515914544589,-12.451041116375835]}"
18,199,0.3039722997091251,35,0,8367.700103812502,0.0,57405.99450157487,12095.91450123114,100.03458386353192,6838.2985945313,1700.5879256800426,8367.700103812502,24806.358190035553,42,-12940,-69610,0,36,0.9515734,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.61077392706689,-12.940636228197445]}"
19,282,0.2682149720049837,39,0,12711.115173274224,10326.084143104237,12711.115173274224,47507.820051594535,19842.465586926424,7497.6508964370805,721.2050002209843,14081.977798095502,13778.602182568042,24,-12496,-70355,0,34,1.0570256,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.35600241003084,-12.496645016762525]}"
20,253,0.425261047247293,34,0,9179.271202688153,4653.481295123308,9179.271202688153,45480.62136933295,13931.755555261601,1802.9791427142188,300.03386527607177,10250.0593199503,10250.0593199503,24,-12526,-70402,0,35,1.4697845,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.40216687256913,-12.52624264044308]}"
21,238,0.7051208589836594,35,0,1204.2980928675322,894.53016648406,1204.2980928675322,36736.91203199426,10539.7141407141,2600.2993382373306,2470.1021573952667,1360.3036447276672,1360.3036447276672,41,-12606,-70396,0,42,5.4275475,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.39708043080773,-12.606730135565439]}"
22,202,0.495404202702767,33,0,1700.6741387953155,12806.638892795749,12478.919485413691,1700.6741387953155,16217.844403998477,17779.216847596723,3749.8193726029576,1769.8821738126205,8103.829578291018,31,-12482,-69157,0,36,1.3909631,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.15690910981729,-12.482829924356661]}"
