system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1726,409,20.335249,278,12283,278,11515,17883,2396,1555,1,21,-13.017935939818047,-70.45531689113614,0,-1.0,1571.5,1224.5,347.0,5.8,1.9588141,
1_1_1_1_1727,266,8.632131,6949,492,6949,30019,10568,3664,13895,1,21,-12.714305373785649,-70.476876457955,0,-2.0,1571.5,1224.5,347.0,2.2,0.0,
1_1_1_1_1728,316,66.485306,9500,9218,9500,18673,17148,5555,18446,1,21,-12.8454594052671,-70.4580118369885,0,-2.0,1571.5,1224.5,347.0,1.2,6.957126,
1_1_1_1_1729,303,12.22649,14242,2055,14213,23843,8810,1911,14716,1,21,-12.86073076509713,-70.53257200557042,0,-0.5,1571.5,1224.5,347.0,8.2,2.7532887,
1_1_1_1_1730,290,42.226723,15186,2897,15186,24412,11801,1911,18514,1,31,-12.829289730152947,-70.51550401517214,0,0.5,1571.5,1224.5,347.0,0.9,3.8273997,
1_1_1_1_1731,267,80.61081,5651,0,5644,38811,4466,3551,6644,1,24,-12.605609224407187,-70.4535202605679,0,0.0,1571.5,1224.5,347.0,0.2,1.4253063,
1_1_1_1_1732,277,63.16418,8439,0,8439,31507,9289,2266,14282,1,24,-12.707118851512693,-70.48945287193268,0,13.5,1571.5,1224.5,347.0,-0.2,1.057727,
1_1_1_1_1733,252,22.710554,769,1454,769,35660,9849,1028,1004,1,31,-12.616389007816622,-70.40321460465721,0,6.5,1571.5,1224.5,347.0,0.6,5.9008756,
1_1_1_1_1734,263,7.729782,7162,0,32429,7162,5018,10239,7782,1,34,-12.965833653339114,-70.0672446883965,0,-13.5,1571.5,1224.5,347.0,10.7,1.685153,
1_1_1_1_1735,235,82.16471,14968,15069,54944,14968,27686,2927,9324,1,24,-12.74933966986631,-69.87680184816317,1,-7.0,1571.5,1224.5,347.0,4.7,0.95085,
1_1_1_1_1736,290,31.32429,14245,1673,14245,27289,13099,220,21180,1,24,-12.798747010492884,-70.5226905374451,0,8.0,1571.5,1224.5,347.0,5.6,0.6642125,
1_1_1_1_1737,529,74.619576,5215,13608,5313,14666,17417,3581,5413,1,21,-13.046682028909872,-70.53436863613865,0,0.0,1571.5,1224.5,347.0,3.2,9.379547,
1_1_1_1_1738,311,82.900345,10179,8388,10179,19570,16500,5020,18691,1,31,-12.840967828846502,-70.46519835926145,0,-2.5,1571.5,1224.5,347.0,2.2,1.8543341,
1_1_1_1_1739,241,54.372963,14893,14986,47678,14893,27570,9395,2786,1,21,-12.759221137991625,-69.9423788639039,0,4.0,1571.5,1224.5,347.0,2.8,2.9971604,
1_1_1_1_1740,295,11.958315,13218,696,13218,29756,13950,907,22019,1,24,-12.770899236685178,-70.52628379858159,1,18.5,1571.5,1224.5,347.0,-3.7,2.3174627,
1_1_1_1_1741,279,94.77294,8323,0,8323,31368,9416,2363,14277,1,24,-12.708017166796813,-70.48855455664857,0,11.5,1571.5,1224.5,347.0,-1.2,2.3548305,
1_1_1_1_1742,246,99.38524,7975,7876,36530,7974,22728,556,2067,1,41,-12.804136902197602,-70.03849859930469,0,-4.5,1571.5,1224.5,347.0,3.1,2.655097,
1_1_1_1_1743,253,54.764084,4871,0,37685,4871,8315,6890,4989,1,34,-12.93529093367905,-70.01514240191757,1,-3.5,1571.5,1224.5,347.0,2.2,1.0423071,
1_1_1_1_1744,251,53.177803,4799,0,37083,4799,8592,6505,5066,1,41,-12.933494303110812,-70.0205322936223,1,-8.5,1571.5,1224.5,347.0,5.1,0.4758057,
1_1_1_1_1745,325,8.55682,13030,0,13030,27988,2598,1587,9150,1,21,-12.891273484757194,-70.58916586846995,1,-1.5,1571.5,1224.5,347.0,6.4,4.5772896,
