system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
2_1698,308,46.598057,2048,0,13320,2048,19842,6043,20911,1,24,-12.942477455952007,-70.24061953823157,0,18.5,1160.1,1266.4,-106.30000000000018,0.4,0.47582266,
2_1699,303,2.6058989,15754,0,15754,31537,12740,1399,22475,1,24,-12.771797551969298,-70.55053831125281,0,-1.0,1160.1,1266.4,-106.30000000000018,1.5,1.9569982,
2_1700,496,104.64522,5403,0,6128,5403,4731,1147,6236,1,21,-13.094292738968207,-70.31158644567702,0,-0.5,1160.1,1266.4,-106.30000000000018,0.4,10.343208,
2_1701,285,79.74552,15857,0,20556,15857,6807,12758,20673,1,31,-13.059258442887545,-70.18402567533204,1,0.5,1160.1,1266.4,-106.30000000000018,-0.1,9.379686,
2_1702,260,84.08779,13774,709,34682,13774,0,16589,14372,1,21,-13.026919092659242,-70.05915985083944,0,0.0,1160.1,1266.4,-106.30000000000018,0.0,0.6645238,
2_1703,273,96.51496,13248,0,29690,13248,1890,16394,16152,1,21,-13.035003930216318,-70.1040756150454,1,-1.0,1160.1,1266.4,-106.30000000000018,3.7,1.5011028,
2_1704,389,13.597549,5230,5842,5322,20476,10925,6068,1637,1,21,-12.99457974243094,-70.58377597676522,0,0.0,1160.1,1266.4,-106.30000000000018,0.9,7.6943903,
2_1705,319,81.26739,14489,0,16684,14489,5852,8762,16795,1,21,-13.079021379138174,-70.21636502556035,0,13.5,1160.1,1266.4,-106.30000000000018,0.2,0.9521042,
2_1706,252,77.88351,2316,0,41640,2316,9843,7999,3504,1,41,-12.91822294328078,-69.97831147526867,0,-12.0,1160.1,1266.4,-106.30000000000018,9.4,2.3392818,
2_1707,357,9.181977,13470,0,13470,27858,2784,1476,9908,1,21,-12.884985277768358,-70.58557260733348,0,13.0,1160.1,1266.4,-106.30000000000018,-3.8,8.078968,
2_1708,261,14.759926,8575,0,29289,8575,4826,12980,11751,1,42,-12.991884796578582,-70.10317729976128,0,6.5,1160.1,1266.4,-106.30000000000018,1.5,4.657484,
2_1709,542,3.1326718,4964,14368,5083,14744,18700,2614,5155,1,21,-13.043088767773394,-70.5226905374451,0,2.0,1160.1,1266.4,-106.30000000000018,2.5,9.3016205,
2_1710,254,38.097614,12503,12503,24348,12503,25415,4452,10360,1,21,-12.797848695208764,-70.15168632510374,0,5.5,1160.1,1266.4,-106.30000000000018,2.9,2.4211564,
2_1711,290,75.02196,13702,98,13702,30302,13517,492,21876,1,34,-12.76910260611694,-70.5316736902863,0,-8.0,1160.1,1266.4,-106.30000000000018,9.3,1.9569778,
2_1712,249,94.465355,13670,749,46775,13670,0,20201,15273,1,21,-13.035902245500438,-69.94507380975625,1,0.0,1160.1,1266.4,-106.30000000000018,0.0,2.0841005,
2_1713,284,38.12535,11779,622,11779,30571,12127,1409,19613,1,34,-12.74933966986631,-70.51909727630863,1,2.5,1160.1,1266.4,-106.30000000000018,2.4,1.7009329,
2_1714,259,61.849064,6368,0,6337,38980,3226,3440,6645,1,31,-12.609202485543666,-70.46430004397733,0,10.0,1160.1,1266.4,-106.30000000000018,4.1,2.3174627,
2_1715,265,16.494944,7098,0,32879,7098,5141,9909,7521,1,24,-12.964037022770876,-70.06275311197591,0,3.0,1160.1,1266.4,-106.30000000000018,1.0,0.6644376,
2_1716,274,23.07036,10587,0,10587,33022,8280,220,14870,1,24,-12.706220536228573,-70.50921580818331,0,-5.5,1160.1,1266.4,-106.30000000000018,8.2,1.499324,
2_1717,247,10.053209,29274,29206,29854,29274,41662,11524,7004,1,21,-12.619982268953098,-70.1130587678866,0,12.0,1160.1,1266.4,-106.30000000000018,1.1,3.011684,
2_1718,289,106.65599,4874,7169,4874,31017,15383,4491,5260,1,24,-12.647830042760804,-70.35650220988299,1,-2.0,1160.1,1266.4,-106.30000000000018,1.2,1.0420603,
2_1719,272,28.019053,8267,0,24719,8267,8669,9639,14267,1,42,-12.989189850726223,-70.14629643339903,0,23.0,1160.1,1266.4,-106.30000000000018,-3.2,3.9126315,
2_1720,409,44.89967,6808,4528,6900,20475,9628,7641,1453,1,21,-12.99368142714682,-70.59814902131114,0,-2.0,1160.1,1266.4,-106.30000000000018,2.6,4.7484126,
2_1721,371,89.44495,14639,0,14639,30015,573,3583,9745,1,31,-12.884086962484238,-70.60623385886822,0,-15.0,1160.1,1266.4,-106.30000000000018,11.4,7.744354,
