system:index,distance_dep,distance_nac,distance_vec,elevation,first,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_0,6526.191698785321,22694.422974143527,6698.872847256175,393,0,-13.039874999999995,-70.578375,0,14.5,1571.5,1224.5,347.0,2.1,5.4300985,
1_1_1_1_1,26487.997685683782,1269425.1426474955,2491.5733403835925,330,0,-12.905375000000006,-70.60912499999999,0,-40.0,1571.5,1224.5,347.0,33.6,3.3671362,
1_1_1_1_2,2008.8399748196953,18685.680360441595,649.2655531790685,417,0,-13.008875000000003,-70.515875,0,0.0,1571.5,1224.5,347.0,0.0,3.401341,
1_1_1_1_3,1269381.8272598935,2983.867374244385,7070.007579137903,257,0,-12.922875000000005,-69.993375,0,0.0,1571.5,1224.5,347.0,0.0,1.9024856,
1_1_1_1_4,13737.740480995895,1269505.419344683,6328.457725724277,303,0,-12.872875000000008,-70.493625,0,0.0,1571.5,1224.5,347.0,0.0,0.0,
1_1_1_1_5,1269445.5349583102,0.0,4525.91714928989,245,0,-12.897125000000003,-70.074625,0,-15.5,1571.5,1224.5,347.0,38.0,1.9022912,
1_1_1_1_6,13838.745775985039,1269862.3955756377,1703.8158530009925,285,0,-12.727374999999995,-70.540375,0,81.5,1571.5,1224.5,347.0,-3.6,2.0835671,
1_1_1_1_7,1269446.154466423,637.1592379705799,5345.897529005303,251,0,-12.896875000000009,-69.994125,0,-115.0,1571.5,1224.5,347.0,72.1,3.8003936,
1_1_1_1_8,7198.646977294478,26013.088968638607,5060.496821442929,350,0,-12.925624999999997,-70.532125,0,0.0,1571.5,1224.5,347.0,0.0,1.3285913,
1_1_1_1_9,1269748.7480416084,13353.769239679717,7405.79844699903,244,0,-12.773875000000004,-69.925375,0,22.0,1571.5,1224.5,347.0,-6.2,3.399102,
1_1_1_1_10,13215.2507104607,1269855.0671132144,992.9367540699698,279,0,-12.730374999999995,-70.53462499999999,0,27.0,1571.5,1224.5,347.0,46.7,2.6547005,
1_1_1_1_11,4090.245683024133,25186.371472605075,4514.898892178185,356,0,-12.970124999999996,-70.560875,0,0.0,1571.5,1224.5,347.0,0.0,2.0839856,
1_1_1_1_12,11594.745363282786,1269998.6869477213,2959.7981523305034,274,0,-12.671374999999998,-70.516875,0,-14.5,1571.5,1224.5,347.0,14.9,2.0834715,
1_1_1_1_13,1269393.598453077,2792.6899837717374,4663.886664909442,258,0,-12.918125000000003,-70.049125,0,-6.5,1571.5,1224.5,347.0,3.9,0.0,
1_1_1_1_14,18836.839836355455,1269684.4361656592,4301.604875892343,304,0,-12.800125000000008,-70.569375,0,110.5,1571.5,1224.5,347.0,14.5,0.95103973,
1_1_1_1_15,14054.249250219831,1269780.5414736809,367.6207251483433,288,0,-12.760874999999999,-70.53762499999999,0,87.5,1571.5,1224.5,347.0,-18.3,3.9787414,
1_1_1_1_16,11228.978144316043,1269639.0132952603,2916.158428812398,311,0,-12.818624999999997,-70.477875,0,-12.5,1571.5,1224.5,347.0,16.2,2.9379888,
1_1_1_1_17,1269488.7449243257,1342.3321813618375,2874.3381424921554,255,0,-12.879625000000004,-70.065625,1,-42.0,1571.5,1224.5,347.0,25.2,3.9797015,
1_1_1_1_18,13808.016223469174,1269711.3794186758,301.39272443245926,288,0,-12.789124999999999,-70.523375,0,-42.5,1571.5,1224.5,347.0,50.1,3.3992462,
1_1_1_1_19,7201.6064188035525,26226.47285117423,4753.051743469519,348,0,-12.926375000000007,-70.535625,0,0.0,1571.5,1224.5,347.0,0.0,8.695656,
1_1_1_1_20,12036.270122251764,1269593.5371800754,4975.743845629694,314,0,-12.837125,-70.482625,0,83.0,1571.5,1224.5,347.0,-24.9,1.3283513,
1_1_1_1_21,21305.663655664157,1269473.3608995336,306.2764930943411,297,0,-12.885874999999999,-70.561875,0,-52.0,1571.5,1224.5,347.0,32.9,4.1621804,
1_1_1_1_22,9460.280245627275,30170.004957688896,1569.0210255562845,339,0,-12.924875,-70.58212499999999,0,-28.5,1571.5,1224.5,347.0,17.3,13.867594,
1_1_1_1_23,1269456.6860580856,245.0179760624718,3330.9155274087066,258,0,-12.892624999999995,-70.012625,1,-20.5,1571.5,1224.5,347.0,14.7,6.3250294,
1_1_1_1_24,1348.6325652832866,12220.245889350648,2973.55690975583,375,0,-13.028125000000003,-70.454875,0,-1.0,1571.5,1224.5,347.0,3.1,0.9519079,
1_1_1_1_25,6601.197784562887,1269832.4621528357,4809.725528339323,299,0,-12.739625000000004,-70.472875,0,0.0,1571.5,1224.5,347.0,0.0,2.1149511,
