system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,landform,latitude,latitude_209564535,longitude,longitude_209564535,mined,offset,price_after,price_before,price_dif,scale,slope,type,type_prev,year,.geo
727,291,99.22095,3343,11099,3343,26023,16442,6913,9155,21,-12.697237383387378,,-70.36728199329242,,0,-69.0,1411.2,1669,-257.79999999999995,66.6,2.375492,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.36741396282541,-12.696792471316526]}"
728,265,108.736725,20342,20283,31347,20342,34146,12408,12248,24,-12.702627275092095,,-70.1040756150454,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.0577102,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.10416745448306,-12.702900314741626]}"
729,322,97.34608,23834,4140,23737,48008,0,12488,15161,24,-12.63705025935137,,-70.63228500210768,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.66399586,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.63193905479905,-12.637263823392958]}"
730,251,105.58359,417,492,48436,417,13386,9955,3997,34,-12.902951583450749,,-69.91632772066443,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.0422791,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.91591282890884,-12.903259890990634]}"
731,268,102.9471,18526,18494,27988,18526,31403,9844,11070,24,-12.733169994752158,,-70.12922844300076,,0,0.0,1411.2,1669,-257.79999999999995,0.0,2.1149054,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.12944106292163,-12.73290152223072]}"
732,384,97.68169,17103,0,17183,24892,2430,12964,9157,31,-12.970325229759712,,-70.68977718029133,,0,8.0,1411.2,1669,-257.79999999999995,3.0,5.8257866,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.68994077879503,-12.970723137721885]}"
733,298,89.875114,2980,4360,2980,27282,12682,5792,12158,24,-12.718796950206247,,-70.44094384659023,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.66410565,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.44129171242515,-12.718369612671323]}"
734,407,89.56014,16424,0,16507,24124,3150,12774,8567,21,-12.975715121464429,,-70.68438728858662,,0,0.0,1411.2,1669,-257.79999999999995,0.0,10.360508,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.68444557774589,-12.975911111381082]}"
735,400,105.721756,2960,11774,2960,15784,16006,3201,5629,31,-12.966731968623234,,-70.49214781778504,,0,0.0,1411.2,1669,-257.79999999999995,0.0,5.53634,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.49220841290968,-12.967050624484791]}"
736,335,80.28875,10558,0,15102,10558,11730,8280,15236,31,-13.034105614932198,,-70.2460094299363,,0,0.0,1411.2,1669,-257.79999999999995,0.0,2.55269,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2455914526578,-13.03371246567379]}"
737,281,23.566914,10929,492,10929,30223,12103,1893,19022,34,-12.745746408729833,,-70.51191075403567,,0,136.5,1411.2,1669,-257.79999999999995,-26.9,1.9917109,0,2,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.51189844262757,-12.745638765745195]}"
738,403,100.82355,3193,7656,3193,22245,11928,3490,3306,21,-12.97302017561207,,-70.55143662653693,,0,-7.0,1411.2,1669,-257.79999999999995,4.2,3.173004,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.55169724147524,-12.972940210075985]}"
739,252,108.40234,10055,10149,50433,10055,23941,5764,5377,24,-12.800543641061124,,-69.9109378289597,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.058042,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9111170686844,-12.800200325720493]}"
740,370,91.26121,2894,5725,2894,3368,12738,4287,4773,31,-13.024224146806883,,-70.38075672255422,,0,0.0,1411.2,1669,-257.79999999999995,0.0,9.3365755,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.38108275068035,-13.02434691123708]}"
741,308,43.757362,17213,0,17213,30866,2515,4859,12901,41,-12.855340873392414,,-70.60264059773174,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.92740995,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.60265797900414,-12.855478454578304]}"
742,241,21.387392,393,311,35091,393,15164,0,2975,42,-12.873307179074803,,-70.04029522987292,,0,76.0,1411.2,1669,-257.79999999999995,-16.6,1.9577438,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.03993803282232,-12.872959365494626]}"
743,258,51.128452,9473,0,9473,33173,7515,2212,13411,31,-12.691847491682662,,-70.4948427636374,,0,6.0,1411.2,1669,-257.79999999999995,-1.6,4.638532,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.49472995127898,-12.691766870330932]}"
744,359,101.55791,3126,10094,3126,8685,24112,3647,14155,41,-12.909239790439585,,-70.39243482124778,,0,0.0,1411.2,1669,-257.79999999999995,0.0,4.045718,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.3923351290415,-12.909022605457363]}"
745,301,27.672552,17345,0,17345,31915,11138,2186,21688,24,-12.779882389526374,,-70.56311472523048,,0,75.0,1411.2,1669,-257.79999999999995,-18.1,0.4755152,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.5632212474343,-12.78005334502406]}"
746,352,13.590263,6316,7525,6316,7525,12921,2467,6865,41,-13.091597793115849,,-70.44992699943143,,0,-16.5,1411.2,1669,-257.79999999999995,12.8,8.092767,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.44951739951901,-13.091502551718708]}"
747,232,49.212914,17024,2894,49221,17024,0,22840,19143,42,-13.06824159572874,,-69.91902266651678,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.3289837,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.91873066606563,-13.06817015133865]}"
748,257,37.420563,18201,4420,40065,18201,0,20630,18508,31,-13.061953388739903,,-70.00346430322402,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.6853611,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00309397106564,-13.06161792279687]}"
749,277,22.750603,19302,21808,19302,24373,31005,0,9592,24,-12.689152545830302,,-70.21995828669682,,0,0.0,1411.2,1669,-257.79999999999995,0.0,2.1146104,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.22013526685869,-12.68910207498804]}"
750,236,79.90223,15998,15962,44255,15998,29047,8736,4714,34,-12.743051462877474,,-69.97651484470043,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.4995198,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.97612646634941,-12.743004913445885]}"
751,248,77.007324,7780,8933,7780,33824,19605,8274,1816,21,-12.610999116111904,,-70.31428139152938,,0,0.0,1411.2,1669,-257.79999999999995,0.0,3.378568,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.31448825775212,-12.611081922047596]}"
752,264,114.01824,6797,6877,51827,6797,21864,5221,8526,24,-12.826594784300589,,-69.89297152327732,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.3909631,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.89269040627909,-12.826303925050524]}"
753,363,107.38813,3389,10309,3389,8872,23819,3942,13982,41,-12.909239790439585,,-70.39512976710013,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.958006,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.39510278248667,-12.909550269555988]}"
754,268,101.02024,8246,0,8193,35675,4492,4495,9959,31,-12.658609826170238,,-70.48855455664857,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.92740995,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.48818330974511,-12.658445430674966]}"
755,253,102.67593,15952,2597,46871,15952,0,22452,17653,24,-13.057461812319307,,-69.94148054861978,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.0589215,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.94165656041622,-13.057780252333908]}"
756,289,19.703547,0,7423,0,24990,14971,3522,12109,42,-12.726881787763322,,-70.41399438806664,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.6641161,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.41426701532367,-12.727193984954857]}"
757,250,74.57582,8425,0,50673,8425,4298,14222,11365,41,-12.987393220157983,,-69.90195467611852,,0,0.0,1411.2,1669,-257.79999999999995,0.0,3.656264,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.90183681389509,-12.987396992419997]}"
758,249,94.58263,9937,0,50296,9937,2509,15995,12574,34,-13.002664579988016,,-69.90824288310735,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.47593853,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.90825577149141,-13.003107188495397]}"
759,294,89.09485,20615,1101,20529,44336,0,9977,13593,31,-12.65411824974964,,-70.60264059773174,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.66401875,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.60304746706238,-12.653981828891608]}"
760,283,101.56112,11914,15988,11914,16084,29385,5349,17756,24,-12.7673059755487,,-70.27206057317576,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.66417056,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.27162902517016,-12.76697374846407]}"
761,215,2.4468539,16199,220,56096,16199,0,18492,19411,42,-13.046682028909872,,-69.85793722719666,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.6853286,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.858337417771,-13.046677549529427]}"
762,254,32.830708,6111,0,34585,6111,6910,7903,5925,41,-12.948765662940843,,-70.04478680629352,,0,82.5,1411.2,1669,-257.79999999999995,26.0,1.958302,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.04495108979158,-12.948344835403669]}"
763,234,72.441185,20857,20806,44649,20857,34366,12519,5029,24,-12.69454243753502,,-69.98190473640516,,0,-15.0,1411.2,1669,-257.79999999999995,9.0,2.8872023,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98146848766127,-12.694973703403653]}"
764,272,87.34605,9354,9306,18244,9354,25324,689,16281,41,-12.829289730152947,,-70.20378861158267,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.3283291,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.20394591538897,-12.829131695649911]}"
765,287,88.78146,5574,16190,5574,20044,22376,6558,15376,24,-12.745746408729833,,-70.33584095834824,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.0421436,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.33617676824926,-12.745499953892518]}"
766,237,52.448692,13690,13594,28308,13690,26434,8100,7317,41,-12.777187443674016,,-70.11844865959132,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.95095444,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.11830562343181,-12.776889606402108]}"
767,314,94.59494,10178,8208,10178,20875,16788,3447,20073,24,-12.826594784300589,,-70.46699498982969,,0,0.0,1411.2,1669,-257.79999999999995,0.1,1.4999702,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.46705290699009,-12.826168035337123]}"
