system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_34,249,61.47723,9287,0,43371,9287,2688,14114,9920,0,34,-12.985596589589745,-69.96932832242747,0,-11.0,1571.5,1224.5,347.0,7.2,1.9029658,
1_1_1_1_35,377,100.55389,5028,8759,5028,6871,22295,5160,10981,0,31,-12.93798587953141,-70.39782471295248,0,0.0,1571.5,1224.5,347.0,0.0,9.252028,
1_1_1_1_36,315,91.19334,7112,10963,7112,18081,19634,4800,20262,0,24,-12.831086360721187,-70.43824890073788,0,0.0,1571.5,1224.5,347.0,0.0,1.7013196,
1_1_1_1_37,306,3.2322028,10072,974,10100,25608,5595,4805,2936,0,41,-12.946969032372605,-70.61252206585705,0,16.0,1571.5,1224.5,347.0,1.7,2.3174627,
1_1_1_1_38,513,106.07318,9937,11848,11111,9937,14881,9879,11328,0,31,-13.096089369536445,-70.5640130405146,0,0.0,1571.5,1224.5,347.0,0.0,14.585023,
1_1_1_1_39,488,110.57733,5617,8070,6472,5617,18626,7799,7164,0,21,-12.97391849089619,-70.39962134352074,0,0.0,1571.5,1224.5,347.0,0.0,16.565868,
1_1_1_1_40,385,101.09024,10412,4678,10497,14746,8265,10826,7638,0,31,-13.046682028909872,-70.61791195756177,0,0.0,1571.5,1224.5,347.0,0.0,6.137386,
1_1_1_1_41,251,90.04606,7210,7187,31973,7210,20689,3248,3066,0,42,-12.82300152316411,-70.07802447180595,0,0.0,1571.5,1224.5,347.0,0.0,0.47559586,
1_1_1_1_42,250,46.564545,20302,6414,45459,20302,0,25799,21843,0,21,-13.096089369536445,-69.95226033202921,1,0.0,1571.5,1224.5,347.0,0.0,9.24265,
1_1_1_1_43,294,99.23135,5218,2245,5218,28282,12069,5469,13601,0,24,-12.722390211342724,-70.46160509812498,0,0.0,1571.5,1224.5,347.0,0.0,2.3757255,
1_1_1_1_44,303,94.219406,10691,6217,10691,23345,16303,2020,21569,0,21,-12.80773016333408,-70.48046971909149,0,-16.0,1571.5,1224.5,347.0,15.5,2.8884597,
1_1_1_1_45,291,95.96088,4731,16026,4731,18198,23396,6199,17043,0,34,-12.763712714412222,-70.33943421948472,0,0.0,1571.5,1224.5,347.0,0.0,1.0579162,
1_1_1_1_46,291,8.586794,2019,3653,5028,2019,19273,3967,11230,0,41,-12.95774881578204,-70.35560389459887,0,0.0,1571.5,1224.5,347.0,0.0,0.0,
1_1_1_1_47,232,94.26686,25041,25152,52943,25041,37320,12868,3219,0,21,-12.659508141454358,-69.90464962197088,0,0.0,1571.5,1224.5,347.0,0.0,10.043469,
1_1_1_1_48,238,47.270687,13803,15124,13803,31084,25544,3939,4715,0,21,-12.628067106510175,-70.2603824744822,0,0.0,1571.5,1224.5,347.0,0.0,3.365963,
1_1_1_1_49,443,119.15207,6824,10302,6824,8187,22444,7007,9763,0,31,-12.942477455952007,-70.41489270335076,0,0.0,1571.5,1224.5,347.0,0.0,18.131172,
1_1_1_1_50,287,45.720554,10963,4518,10963,25293,16069,793,21993,0,34,-12.793357118788167,-70.49214781778504,0,24.5,1571.5,1224.5,347.0,10.3,1.4997909,
1_1_1_1_51,291,1.1634102,15133,1082,15133,25013,8191,749,14935,0,31,-12.853544242824174,-70.5406568431275,0,59.5,1571.5,1224.5,347.0,1.3,2.5047002,
