system:index,0_mined,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,random,sand,scale,slope,year,.geo
1_1_1_1_2_91,0,0,0,0,0,0,0,0,0,254,0.126646441632573,36,0,10803.13591896324,7018.668770052547,10803.13591896324,46878.37929600299,16336.26167585449,4134.496811201569,424.3145092197237,12016.419091932868,12016.419091932868,24,-12510,-70387,0.0,0.8828607594062287,33,0.0,1.0419441,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.38740347738714,-12.510091310441204]}"
1_1_1_1_2_97,0,0,0,0,0,0,0,0,0,261,0.018299427703708408,33,0,21819.757977379268,23947.545615242925,25189.19768425669,54332.80291201063,33730.65001194782,360.61642374984115,632.5630526872401,21819.757977379268,19507.41792907933,21,-12420,-70254,0.0,0.978280224561195,36,0.0,2.3375854,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.25446616517655,-12.41988064104035]}"
1_1_1_1_2_100,0,0,0,0,0,0,0,0,0,388,0.009089322748344486,41,0,22819.001240485555,14878.279070563318,66610.81038334379,30197.514022913587,0.0,15686.910963044957,2154.7629364967274,22819.001240485555,37424.67070924356,21,-13151,-69725,0.0,0.8604042652038102,38,0.0,8.641989,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.72528843403386,-13.15206206902205]}"
1_1_1_1_2_103,0,0,0,0,0,0,0,0,0,262,0.07207624248788866,38,0,141.46981651354116,707.3490825677058,50688.55826368102,671.0502605233363,13776.066036584461,10621.076719920145,583.2949963220798,141.46981651354116,8903.611699030307,21,-12788,-69627,0.0,0.9651011289860384,36,0.0,1.0421803,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.62777461871252,-12.789091827791307]}"
1_1_1_1_2_104,0,0,0,0,0,0,0,0,0,243,0.007086249421379712,32,0,45352.41223596705,36738.58888990014,57386.19895575803,56061.4606160444,0.0,1300.5126625861337,1503.9224846526333,45352.41223596705,61838.04820903336,24,-13156,-69199,0.0,0.9570567194231127,37,0.0,0.92740995,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.19991083874545,-13.156263310996112]}"
1_1_1_1_2_112,0,0,0,0,0,0,0,0,0,253,0.04881759022710314,33,0,28271.881350775097,13791.189472323385,50643.277993508025,28271.881350775097,0.0,360.65650181951173,854.6405991473476,32824.619159464244,30374.63730155756,31,-13167,-69904,0.0,0.8621347695366893,38,0.0,3.3791602,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.90443003871282,-13.16776879404767]}"
1_1_1_1_2_120,0,0,0,0,0,0,0,0,0,254,0.005474057778882471,34,0,39440.74684428232,36636.01459469647,63878.35568743202,56110.90668335458,0.0,4926.333382517177,500.1933708108545,39440.74684428232,61906.563431595496,24,-13201,-69303,0.0,0.8391957734417693,41,0.0,0.9525806,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.30432811842753,-13.202006182107814]}"
1_1_1_1_2_124,0,0,0,0,0,0,0,0,0,219,0.10021157625871771,37,0,8173.385375717946,18119.529967689556,53232.84800994589,18118.149274277435,30444.59964016607,3834.0229687627066,721.3490833154221,8173.385375717946,12657.253503426404,31,-12640,-69687,0.0,0.861112828613825,34,0.0,2.365588,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.68762838389186,-12.640015525551402]}"
1_1_1_1_2_125,0,0,0,0,0,0,0,0,0,349,0.004889905382445807,39,0,30633.197480844057,10438.87596656424,30633.197480844057,64969.24679571963,0.0,15702.942785323414,1802.528619419987,35747.72341759704,33698.94254359684,41,-12681,-70918,0.0,0.8639974904788218,38,0.0,1.4698772,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9186167755326,-12.681450458252293]}"
1_1_1_1_2_126,0,0,0,0,0,0,0,0,0,201,0.08792969918905318,32,0,7358.213534276892,8043.117776241997,25811.29359493525,14318.309258582665,10004.001640749815,5690.861428710178,800.3201312599853,7358.213534276892,24074.74998371365,34,-12445,-68996,0.0,0.824913408852263,32,0.0,0.6637436,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.99700948138862,-12.446115413822762]}"
1_1_1_1_2_135,0,0,0,0,0,0,0,0,0,258,0.31217279402810233,34,0,3302.2759345118707,6763.955026721838,31538.999370601916,6842.629685700155,20335.20592532543,8574.607200938746,1746.8275401647766,3302.2759345118707,3547.6472556866825,34,-12827,-70078,0.0,0.8067774583169711,35,0.0,1.9574089,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.07845024127784,-12.827777719671786]}"
1_1_1_1_2_137,0,0,0,0,0,0,0,0,0,285,0.10089240118534158,39,0,7885.877764534997,447.23901258163966,12866.577482200491,41304.28436818593,0.0,15560.447293086967,424.2881814728051,7885.877764534997,6835.591470384988,42,-12628,-70533,0.0,0.8302889374218361,36,0.0,6.2958355,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.53302552140764,-12.628901319454537]}"
