system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
2_2016,250,48.692055,12605,12601,24077,12605,25621,4205,10661,1,21,-12.796950379924645,-70.1543812709561,0,-1.5,1160.1,1266.4,-106.30000000000018,11.0,4.7446995,
2_2017,248,89.79057,13429,529,47097,13429,0,20184,15094,1,31,-13.034105614932198,-69.9423788639039,1,2.0,1160.1,1266.4,-106.30000000000018,-0.4,2.997571,
2_2018,247,102.83588,14159,840,47372,14159,0,21061,15911,1,31,-13.041292137205154,-69.93878560276741,1,0.0,1160.1,1266.4,-106.30000000000018,0.0,1.9143736,
2_2019,250,98.657585,13783,793,46663,13783,0,20237,15366,1,21,-13.036800560784558,-69.94597212504037,1,0.0,1160.1,1266.4,-106.30000000000018,0.0,1.9589552,
2_2020,423,82.60486,1185,13343,1185,17421,17377,1556,2818,1,21,-13.002664579988016,-70.5083174928992,0,-14.5,1160.1,1266.4,-106.30000000000018,13.3,4.162586,
2_2021,293,83.80868,12533,0,12533,34397,7460,1324,14974,1,21,-12.706220536228573,-70.5271821138657,1,20.5,1160.1,1266.4,-106.30000000000018,6.1,1.3279986,
2_2022,298,80.26497,14336,969,14336,28125,13227,492,21602,1,24,-12.792458803504047,-70.5271821138657,0,72.0,1160.1,1266.4,-106.30000000000018,11.0,0.0,
2_2023,252,94.670845,7940,8005,47977,7940,20731,8457,5740,1,24,-12.825696469016469,-69.9289041346421,0,-41.0,1160.1,1266.4,-106.30000000000018,40.1,0.9511367,
2_2024,250,78.78625,10782,0,44759,10782,1586,16388,11842,1,24,-13.004461210556254,-69.96034516958628,0,-58.5,1160.1,1266.4,-106.30000000000018,52.3,2.3174627,
2_2025,257,39.718105,11136,0,36090,11136,1968,12892,10969,1,24,-12.99457974243094,-70.0393969145888,0,-175.5,1160.1,1266.4,-106.30000000000018,108.4,1.8543341,
2_2026,534,53.273117,5885,11610,5885,11610,16900,4825,5905,1,31,-13.066444965160501,-70.47867308852325,0,-44.0,1160.1,1266.4,-106.30000000000018,38.2,6.632082,
2_2027,247,71.207565,12587,196,42586,12587,0,16063,13128,1,21,-13.01254604811333,-69.98280305168927,1,-4.5,1160.1,1266.4,-106.30000000000018,12.6,4.2729516,
2_2028,376,33.789314,6161,4692,6207,22803,9462,6790,1147,1,21,-12.97302017561207,-70.5864709226176,0,37.0,1160.1,1266.4,-106.30000000000018,-10.8,4.793127,
2_2029,256,4.7025185,1420,1588,1420,35516,8883,1979,1991,1,31,-12.620880584237218,-70.4121977574984,0,148.5,1160.1,1266.4,-106.30000000000018,-38.0,0.47521707,
2_2030,278,27.930862,7691,0,7691,31496,8983,3368,13025,1,21,-12.699932329239736,-70.48046971909149,0,25.5,1160.1,1266.4,-106.30000000000018,5.0,1.7007002,
2_2031,241,92.149796,14073,440,49518,14073,0,20224,16256,1,31,-13.041292137205154,-69.91902266651678,0,0.0,1160.1,1266.4,-106.30000000000018,0.0,2.6563888,
2_2032,280,91.995384,8856,0,8856,31531,9428,1772,14910,1,24,-12.710712112649171,-70.49394444835328,0,160.0,1160.1,1266.4,-106.30000000000018,-40.1,1.6846088,
2_2033,239,54.503418,12957,98,44607,12957,0,17868,13964,1,31,-13.023325831522765,-69.96663337657512,1,-8.0,1160.1,1266.4,-106.30000000000018,10.8,1.7022405,
2_2034,309,7.7443957,10589,7875,10589,20338,16190,4447,19048,1,42,-12.835577937141784,-70.46968993568206,0,135.5,1160.1,1266.4,-106.30000000000018,-34.3,5.237813,
2_2035,372,94.70392,12980,0,13014,26934,2869,6207,5231,1,31,-12.93708756424729,-70.6376748938124,0,-76.5,1160.1,1266.4,-106.30000000000018,62.9,6.296527,
2_2036,264,27.574717,12022,0,12022,35294,5857,1378,12623,1,31,-12.685559284693824,-70.51730064574039,0,-11.5,1160.1,1266.4,-106.30000000000018,20.9,1.99147,
2_2037,272,26.986032,10488,0,10488,33251,7926,574,14381,1,24,-12.701728959807976,-70.50741917761508,0,-43.0,1160.1,1266.4,-106.30000000000018,42.1,0.46373534,
2_2038,302,66.093575,16032,0,16032,27436,5926,1185,14133,1,24,-12.850849296971816,-70.56491135579873,0,130.5,1160.1,1266.4,-106.30000000000018,-36.6,0.46373534,
2_2039,324,87.551186,14158,0,16136,14158,5676,8185,16244,1,34,-13.083512955558772,-70.22085660198094,0,20.5,1160.1,1266.4,-106.30000000000018,3.7,3.3289807,
2_2040,296,48.863747,16343,220,16343,28378,11204,1587,19819,1,34,-12.804136902197602,-70.54155515841161,1,68.0,1160.1,1266.4,-106.30000000000018,34.7,0.46373534,
2_2041,238,19.23645,1477,2290,1420,36534,13107,2896,2928,1,31,-12.60021933270247,-70.37446851556538,0,0.0,1160.1,1266.4,-106.30000000000018,4.9,3.1233068,
2_2042,256,106.36438,11706,11800,50155,11706,25302,6202,4469,1,31,-12.78617059651521,-69.91542940538031,0,-139.0,1160.1,1266.4,-106.30000000000018,84.7,7.3788605,
2_2043,256,99.47114,2606,2555,36656,2606,17290,841,5396,1,24,-12.854442558108294,-70.02861713117937,0,-47.0,1160.1,1266.4,-106.30000000000018,64.7,2.3557205,
2_2044,280,37.22922,14960,0,24612,14960,5358,15652,19727,1,21,-13.05027529004635,-70.14809306396727,1,-10.0,1160.1,1266.4,-106.30000000000018,6.8,3.9135396,
2_2045,351,11.432573,14270,0,14356,22691,4666,11631,6585,1,21,-12.982901643737385,-70.66552266762011,1,61.5,1160.1,1266.4,-106.30000000000018,10.3,3.8297148,
2_2046,293,46.00061,16594,0,16594,26977,7317,811,15337,1,31,-12.84276445941474,-70.55502988767341,0,161.0,1160.1,1266.4,-106.30000000000018,-10.2,3.672063,
